"product_id","product_name","category","discounted_price","actual_price","discount_percentage","rating","rating_count","review_title"
"B08G43CCLC","NK STAR 950 Mbps USB WiFi Adapter Wireless Network Receiver Dongle for Desktop Laptop, (Support- Windows XP/7/8/10 & MAC OS) NOt Support to DVR and HDTV","Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters",220,999,0.78,4.2,163,"Thank you,Satisfying product,Keeps disconnecting,Very nice product essy to use,Very nice,Nice and compatible product,Good,Solid product hai"
"B0B61GCHC1","LS LAPSTER Quality Assured USB 2.0 morpho cable, morpho device cable for Mso 1300 E3/E2/E Biometric Finger Print Scanner morpho USB cable (Black)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",200,999,0.8,4.3,87,"Good product,Good,  work fine,Thickness of cable to be reduced.,Morho,This product is very good.,original product,USB ke pass or mjbuti Dena chahiye,Good product"
"B07RX14W1Q","Amazon Basics 10.2 Gbps High-Speed 4K HDMI Cable with Braided Cord, 1.8 Meter, Dark Grey","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",495,900,0.45,4.4,2165,"Sturdy,Super,Working good,Always go for quality,Not suitable for 4k,I do not want this product,Working well<U+0001F44D>,Excellent one. Worth buying"
"B0B8ZKWGKD","ZORBES® Wall Adapter Holder for Alexa Echo Dot 4th Generation,A Space-Saving Solution with Cord Management for Your Smart Home Speakers -White (Holder Only)","Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",894,1052,0.15,4.3,106,"Concept is great but not at all value for money,Good product,You go for it,Perfect,Value for money but little bit expensive,Product is very useful, but very costly.,Nice but a little bit weak,100% satisfied <U+0001F490>"
"B08H5L8V1L","Synqe USB Type C Fast Charging Cable 2M Charger Cord Data Cable Compatible with Samsung Galaxy M51,Galaxy M31S, S10e S10 S9 S20 Plus, Note10 9 8,M40 A50 A70, Redmi Note 9, Moto G7, Poco F1 (2M, Grey)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",374,1099,0.66,4.3,3049,"Good And Durable,Value for money product.,Right choice,Good product.,Charger is good,Cable is working as expected.,The best cable till now,Good <U+0001F44D>"
"B09HCH3JZG","Bestor ® 8K Hdmi 2.1 Cable 48Gbps 9.80Ft/Ultra High Speed Hdmi Braided Cord For Roku Tv/Ps5/Hdtv/Blu-Ray Projector, Laptop, Television, Personal Computer, Xbox, Ps4, Ps5, Ps4 Pro (1 M, Grey)","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",703,1899,0.63,4.4,390,"Great value for ultra hi speed HDMI!,thickness,material,Works well, just plug and play,Good,Good product,Perfect cable and I'm getting 120Hz 4k when connected to my freesync-certified TV 55Q80T,Good Cable,Little expensive"
"B097JVLW3L","Irusu Play VR Plus Virtual Reality Headset with Headphones for Gaming (Black)","Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",2695,3500,0.23,3.5,621,"Really great device, love using it.,Superb,Good,Good product,Good product nice to have it...,Good VR set at this price range,Amazing product <U+263A><U+FE0F>,Don't buy"
"B09SB6SJB4","Amazon Brand - Solimo Fast Charging Braided Type C Data Cable Seam, Suitable For All Supported Mobile Phones (1 Meter, Black)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",132,599,0.78,4.1,265,"Best,Good,Fast Charging works better than original cable!!,Durable cable,Low performance compare to original data cable,Great!,Good product,Fast charging and length is 3 meters above"
"B08NW8GHCJ","Synqe USB C to USB C 60W Nylon Braided Fast Charging Type C to Type C Cable Compatible with Samsung Galaxy Note 20/Ultra, S20 S22 S21 S20 FE A73 A53 A33 (2M, Black)","Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables",390,999,0.61,4.3,838,"Used for 10 months,Quality is good,Good Aftersale Service,Super fast charging suppurt,Superb Quality and value for money,Good small cable,Nice,Highly recommended"
"B09YHLPQYT","Shopoflux Silicone Remote Cover for Mi Smart TV and Mi TV Stick/MI Box S / 3S / MI 4X / 4A Smart LED TV (Black)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",246,600,0.59,4.2,143,"Cover is perfect size wise and it's exactly same as shown in picture.u can go for it.,Superb quality <U+0001F44C>,Price very high,Value for money,Perfect Snug Fit,Must buy,Nice,It's a good and solid fit"
